C3247924	subgroupOf	C2931926
C0982892	subgroupOf	C0075632
C4283720	subgroupOf	C4283710
C0781612	subgroupOf	C0007559
C0981724	subgroupOf	C0037138
C0693960	subgroupOf	C0288171
C1319679	subgroupOf	C2350089
C0690154	subgroupOf	C0033229
C0692172	subgroupOf	C0008286
C3888034	subgroupOf	C0254119
C0976737	subgroupOf	C0014809
C3820081	subgroupOf	C0700549
C3534997	subgroupOf	C1958126
C2962161	subgroupOf	C0961781
C3667566	subgroupOf	C0005088
C0690861	subgroupOf	C0085149
C0789332	subgroupOf	C0086620
C0690704	subgroupOf	C0042105
C0977870	subgroupOf	C0021968
C2364493	subgroupOf	C0039623
C0981698	subgroupOf	C0282304
C1621993	subgroupOf	C0040341
C0979709	subgroupOf	C0032856
C0689396	subgroupOf	C0065295
C3254876	subgroupOf	C1871526
C0702522	subgroupOf	C0014708
C1319772	subgroupOf	C0937950
C4522937	subgroupOf	C0066522
C0688474	subgroupOf	C0700529
C1509502	subgroupOf	C4281713
C4080771	subgroupOf	C0377265
C0789930	subgroupOf	C0014912
C0693607	subgroupOf	C0081408
C0773595	subgroupOf	C0023413
C0979808	subgroupOf	C0033399
C0688253	subgroupOf	C0008273
C1949322	subgroupOf	C1176329
C0980799	subgroupOf	C0282369
C0979147	subgroupOf	C0029310
C0772628	subgroupOf	C0282198
C0981222	subgroupOf	C0596005
C0778108	subgroupOf	C0724560
C0689200	subgroupOf	C0021186
C1704136	subgroupOf	C1619966
C0982884	subgroupOf	C0143083
C3692758	subgroupOf	C0546868
C1319720	subgroupOf	C0073393
C1572614	subgroupOf	C0102840
C1621174	subgroupOf	C0032334
C1178166	subgroupOf	C0147008
C0690137	subgroupOf	C0600311
C3820057	subgroupOf	C0066700
C1950707	subgroupOf	C0087000
C0980808	subgroupOf	C0040864
C0982672	subgroupOf	C0011707
C4083092	subgroupOf	C0766108
C0774023	subgroupOf	C0033218
C0784729	subgroupOf	C0009137
C0689020	subgroupOf	C0018513
C3668775	subgroupOf	C0025677
C3268316	subgroupOf	C0282141
C0781573	subgroupOf	C0007738
C0688946	subgroupOf	C0016860
C0690534	subgroupOf	C0039943
C1168728	subgroupOf	C0173083
C1712080	subgroupOf	C0071751
C0977098	subgroupOf	C3854019
C0688878	subgroupOf	C0016277
C0690306	subgroupOf	C0036442
C0691094	subgroupOf	C0000970
C1697873	subgroupOf	C1699236
C0689109	subgroupOf	C0063079
C3644443	subgroupOf	C3467876
C0694373	subgroupOf	C0060405
C4048475	subgroupOf	C0031862
C3265084	subgroupOf	C2343921
C0775034	subgroupOf	C0074281
C0690451	subgroupOf	C0039600
C0976368	subgroupOf	C0012203
C0690643	subgroupOf	C0040879
C4238544	subgroupOf	C0030049
C2341615	subgroupOf	C0907850
C0979097	subgroupOf	C0028833
C2369310	subgroupOf	C2001271
C0976588	subgroupOf	C0064263
C0979933	subgroupOf	C0034415
C0979474	subgroupOf	C0724659
C0979038	subgroupOf	C0017887
C4238538	subgroupOf	C0030049
C0980640	subgroupOf	C0039840
C0690696	subgroupOf	C0041920
C0978502	subgroupOf	C0721688
C1321183	subgroupOf	C1145759
C0974651	subgroupOf	C0596005
C0690604	subgroupOf	C0040374
C1349489	subgroupOf	C0025368
C4317196	subgroupOf	C0026289
C0978142	subgroupOf	C0079691
C0703541	subgroupOf	C0012265
C2938761	subgroupOf	C1699926
C1177631	subgroupOf	C0700451
C0980681	subgroupOf	C0039955
C1164890	subgroupOf	C0237417
C0980089	subgroupOf	C0036079
C0980568	subgroupOf	C0039771
C0693606	subgroupOf	C0020261
C0707581	subgroupOf	C0079691
C2927777	subgroupOf	C0009079
C0977342	subgroupOf	C0018513
C0975414	subgroupOf	C0007561
C0690653	subgroupOf	C0040979
C0784226	subgroupOf	C0042845
C1319721	subgroupOf	C0073393
C2317236	subgroupOf	C1872109
C4529470	subgroupOf	C0117996
C0976108	subgroupOf	C0011707
C0937594	subgroupOf	C0069751
C0975388	subgroupOf	C0053882
C1164879	subgroupOf	C0913246
C0980270	subgroupOf	C0037508
C0690494	subgroupOf	C0039771
C0978528	subgroupOf	C0609436
C3162412	subgroupOf	C0257685
C0688416	subgroupOf	C0010137
C4056551	subgroupOf	C0006405
C0976540	subgroupOf	C0013085
C0982864	subgroupOf	C0216231
C1329293	subgroupOf	C0086620
C0977629	subgroupOf	C0020268
C0690395	subgroupOf	C0037982
C0937762	subgroupOf	C0008845
C0980601	subgroupOf	C0039771
C0694368	subgroupOf	C0020402
C1996471	subgroupOf	C0037494
C3857252	subgroupOf	C3179549
C1162189	subgroupOf	C0037508
C0693923	subgroupOf	C3489575
C0690438	subgroupOf	C0039468
C4306829	subgroupOf	C0700549
C0691158	subgroupOf	C0052657
C0692516	subgroupOf	C0060276
C0977490	subgroupOf	C0062923
C0777354	subgroupOf	C0008783
C2741627	subgroupOf	C0772054
C0688059	subgroupOf	C0006376
C1533409	subgroupOf	C1172734
C0688044	subgroupOf	C0006230
C4048870	subgroupOf	C0237417
C1164830	subgroupOf	C0937950
C0688171	subgroupOf	C0060400
C0785570	subgroupOf	C0036079
C1168721	subgroupOf	C0145932
C0980210	subgroupOf	C0037494
C4048575	subgroupOf	C0169964
C3499630	subgroupOf	C0008318
C0938274	subgroupOf	C0937916
C4082857	subgroupOf	C0546861
C0781708	subgroupOf	C0018242
C0688832	subgroupOf	C0015046
C0872758	subgroupOf	C0873119
C0981644	subgroupOf	C0171023
C0690437	subgroupOf	C0039468
C1962146	subgroupOf	C0596005
C0975881	subgroupOf	C0009217
C0704664	subgroupOf	C0009137
C1169894	subgroupOf	C0066814
C0975397	subgroupOf	C0007559
C0991745	subgroupOf	C0037508
C1951666	subgroupOf	C0771469
C0777957	subgroupOf	C0009137
C0977976	subgroupOf	C0022209
C2343993	subgroupOf	C0075770
C4048850	subgroupOf	C0069717
C2961685	subgroupOf	C0024480
C4282630	subgroupOf	C4048919
C0982827	subgroupOf	C0031184
C0353473	subgroupOf	C0023566
C0977518	subgroupOf	C0020261
C1329214	subgroupOf	C0210657
C1813813	subgroupOf	C0753678
C0974611	subgroupOf	C0004057
C1161515	subgroupOf	C0600901
C0687869	subgroupOf	C0700523
C0980217	subgroupOf	C0037494
C0978612	subgroupOf	C0700548
C0687817	subgroupOf	C0002333
C0688101	subgroupOf	C0717537
C0978345	subgroupOf	C0024730
C3264668	subgroupOf	C1099776
C1339079	subgroupOf	C0060400
C0689533	subgroupOf	C0025659
C0994952	subgroupOf	C0700579
C4048670	subgroupOf	C0015020
C3248053	subgroupOf	C0724725
C0979929	subgroupOf	C0034415
C0354184	subgroupOf	C0700442
C0937296	subgroupOf	C0004261
C1700832	subgroupOf	C3489575
C0936159	subgroupOf	C0700533
C0691450	subgroupOf	C0016157
C0687824	subgroupOf	C0936072
C0687858	subgroupOf	C0002555
C0690418	subgroupOf	C0038675
C3535700	subgroupOf	C0004609
C1164941	subgroupOf	C0386393
C0688931	subgroupOf	C0016377
C3652279	subgroupOf	C2987648
C2346382	subgroupOf	C0724666
C1812859	subgroupOf	C0700563
C2682378	subgroupOf	C0039771
C2342827	subgroupOf	C1684405
C0979504	subgroupOf	C0237417
C0772979	subgroupOf	C0037494
C2724902	subgroupOf	C0008318
C0689024	subgroupOf	C0062106
C0975358	subgroupOf	C0007552
C3192354	subgroupOf	C2973446
C0691268	subgroupOf	C0006699
C0978128	subgroupOf	C0377265
C1533701	subgroupOf	C0014809
C0705878	subgroupOf	C0674428
C1168821	subgroupOf	C0961485
C0981468	subgroupOf	C0753645
C1713721	subgroupOf	C0006931
C4082624	subgroupOf	C0007554
C0978084	subgroupOf	C0064636
C1697875	subgroupOf	C1699236
C0705395	subgroupOf	C0009137
C0978680	subgroupOf	C0049506
C2741195	subgroupOf	C0292818
C0976392	subgroupOf	C0012319
C4294579	subgroupOf	C0282274
C1168824	subgroupOf	C0050940
C0980699	subgroupOf	C0040134
C1321293	subgroupOf	C0087000
C0780179	subgroupOf	C0031617
C0705868	subgroupOf	C0063041
C2366394	subgroupOf	C0893761
C0979429	subgroupOf	C0148932
C4490177	subgroupOf	C2828290
C4057002	subgroupOf	C0043832
C0688688	subgroupOf	C0039663
C2917471	subgroupOf	C0064326
C0702531	subgroupOf	C0062103
C0982889	subgroupOf	C0038774
C0978753	subgroupOf	C0066814
C0976347	subgroupOf	C0282131
C0974378	subgroupOf	C0002680
C0981452	subgroupOf	C0017440
C1630419	subgroupOf	C0074757
C0690359	subgroupOf	C0037521
C2368855	subgroupOf	C1435444
C0978245	subgroupOf	C0065180
C1178551	subgroupOf	C0005059
C1572583	subgroupOf	C0304300
C1338559	subgroupOf	C0282210
C0778369	subgroupOf	C0028902
C4275376	subgroupOf	C3713860
C0991704	subgroupOf	C0024056
C1321922	subgroupOf	C0006949
C0979164	subgroupOf	C0029983
C0981505	subgroupOf	C0022176
C0691584	subgroupOf	C0024337
C0976393	subgroupOf	C0012322
C0703227	subgroupOf	C0070525
C3692742	subgroupOf	C0546868
C0687801	subgroupOf	C0001927
C0978713	subgroupOf	C0066700
C2961328	subgroupOf	C0017725
C0702906	subgroupOf	C0015620
C0981643	subgroupOf	C0076275
C0980864	subgroupOf	C0041090
C1635160	subgroupOf	C1619629
C3249118	subgroupOf	C0002335
C0980557	subgroupOf	C0039771
C1711869	subgroupOf	C0049065
C4291391	subgroupOf	C2608550
C3265680	subgroupOf	C0026088
C0690531	subgroupOf	C0039943
C0980360	subgroupOf	C0164662
C1711774	subgroupOf	C0042845
C0978365	subgroupOf	C0282227
C4082834	subgroupOf	C0977679
C0687885	subgroupOf	C0718495
C4048937	subgroupOf	C0066814
C3245316	subgroupOf	C0039601
C0873590	subgroupOf	C0009137
C0975191	subgroupOf	C0054480
C1272548	subgroupOf	C0006949
C4048438	subgroupOf	C0246631
C3848726	subgroupOf	C3848726
C3153917	subgroupOf	C0700496
C0979033	subgroupOf	C0017887
C0783434	subgroupOf	C0000970
C1509586	subgroupOf	C0085154
C0991767	subgroupOf	C0123091
C1711883	subgroupOf	C0525678
C4301473	subgroupOf	C1566537
C2365903	subgroupOf	C0078569
